mikrobioloogia ja viroloogia praktikum,LOMR.03.021
keskkonnakeemia kool,LOKT.04.010
sissejuhatus statistika eriala,MTMS.01.055
globaalökoloogia,LOOM.02.001
nanostruktuurne materjal,LOFY.02.029
sissejuhatus majandusteooria,P2OG.03.079
kristalne kivim petroloogia,LOOM.03.120
matemaatika didaktika seminar,MTMM.00.123
doktoritöö alune,SORG.00.038
ungari keel seminar,FLEE.07.104
mäng ja laps areng,P2NC.00.265
arengupsühholoogia,SOPH.00.283
muusikatehnoloogia alune,P2VK.02.650
ärianalüüs,MTAT.03.310
proovivõtt ja see kvaliteet tagamine,ARSK.03.016
magistritöö,SHHI.02.015
mälumisfüsioloogia ii,ARST.01.104
eesti keel ja kirjandus õpetaja pidev praktika,FLEE.02.170
magistriseminar i,P2VK.01.459
rakutsükkel,LOTI.02.013
elektrotehnika,P2VK.04.667
erialane seminar ja ettekanne i,LOFY.01.146
huvijuht professionaalsus kujundamine,P2VK.05.392
lastehaigus,ARLA.01.042
bakalaureusetöö,SHHI.02.029
eesti kirjandus tüvitekst,FLKU.05.228
ehitus ja planeerimisõigus,P2OG.01.107
inimõigus,P2OG.02.194
bioloogia,ARMP.01.034
ladina juriidiline terminoloogia,P2OG.01.083
etenduskunst praktikum,P2VK.04.511
bioinformaatika i,LOMR.10.002
projektijuhtimine alune,P2PC.01.073
bakalaureuseseminar,FLFI.00.091
meistriklass i,P2VK.04.568
neuropsühholoogia praktika,ARNR.01.034
üldkompositsioon ja vormiõpetus,P2VK.01.365
institutsionaalne keskkond,MJRI.03.096
molekulaarbioloogia,LOMR.05.008
sissejuhatus filosoofia,FLFI.00.002
loomapopulatsioon dünaamika ja majandamine,LOOM.04.064
magistriseminar,LOKT.00.016
personal juhtimine,MJJV.03.076
farmakoloogia,ARFR.02.011
nõustamine põhialus,SOPH.00.088
projektipraktika,P2PC.01.109
praktika,SOSS.04.215
sissejuhatus koolieelne pedagoogika,P2NC.00.089
elektrokardiograafia,ARKA.01.045
perekonnaõigus,OIEO.04.005
eesti kultuurilugu,FLAJ.03.021
arvuti koolimatemaatika,MTAT.03.143
uususund,USUS.06.123
erikursus majanduskeel,FLEE.02.112
erialaseminar,FLGR.03.205
kriminoloogia,OIAO.02.016
sotsioloogiline mõte ajalugu,SOSS.01.062
eesti kirikulugu,USUS.01.039
keelekümblus alune,P2NC.00.549
tekstiõpetus i ja ii kooliaste,SHHI.02.054
magistriseminar,SOSS.04.090
infopädevus,SHUH.05.002
kahjukindlustusmatemaatika,MTMS.02.053
metodoloogia seminar,USUS.02.089
infoturve,MTAT.07.028
õpetaja identiteet ja juhtimine,SHHI.01.029
riistvaraprojekt,LOTI.05.022
praktika,SHRG.00.008
mikroskoopia ii,LOMR.09.025
sportlik treening seminar,KKSP.04.044
ehitis tehnosüsteem ii,P2VK.01.267
teaduslik ettekanne,LOOM.00.026
geopoliitika,SORG.04.012
materjaliõpetus,P2VK.01.273
noodistamine,P2VK.02.095
käitumine neurobioloogia,SOPH.00.111
immunoloogia alane uurimustöö alune ii,ARMP.02.013
rahvusvaheline eraõigus,OIEO.06.046
bakalaureuseseminar,FLGR.04.153
sotsiaal ja majandusstatistika alune,MJRI.01.011
teoreetiline keemia,LOKT.08.001
orgaaniline keemia iv,LOKT.09.007
füüsikaline keemia 1 osa,LOKT.02.037
makroökonoomika,MJRI.10.028
idrisi algkursus,LOOM.02.245
füüsikaline maailmapilt,LOFY.01.002
õigussüsteem võrdlev ajalugu,OIEO.01.041
insenerigraafika,LOFY.01.021
maksuõigus,OIAO.05.008
majandusmõte ajalugu,MJRI.03.057
iisraeli aeg ja usundilugu,USUS.05.063
tekstianalüüs 3,FLGR.01.039
väärteomenetlus,OIAO.03.022
keskaeg,FLAJ.07.004
soome-ugri keel seminar,FLEE.07.122
lastehaigus,ARLA.01.027
uurimistöö,ARFA.00.057
tervishoiuökonoomika ja tervishoiukorraldus,ARTH.05.008
euroopa turismigeograafia,P2PC.02.088
reis ja sündmuskorraldus,P2PC.02.226
inimõigus praktika,P2OG.02.216
ainedidaktiline praktikum,P2NC.01.068
ikonograafia,FLAJ.05.139
vokaaldidaktika,P2VK.02.659
rütmimuusika instrument,P2VK.02.757
digitaalne loogika,LOTI.05.055
hajussüsteem uurimisprojekt,MTAT.08.034
praktiline lepinguõigus,P2PC.01.164
kirurgia,AR00.00.066
füüsikaline ravi,KKSB.05.074
professionaalne areng i,ARST.01.108
kaasaegne tants ii,P2VK.04.567
