ar01,arstiteaduskond emeriitdotsent
fl01,filosoofiateaduskond emeriitdotsent
bg01,bioloogia-geograafiateaduskond emeriitdotsent
fk01,füüsika-keemiateaduskond emeriitdotsent
ht01,haridusteaduskond emeriitdotsent
kk01,kehakultuuriteaduskond emeriitdotsent
mj01,majandusteaduskond emeriitdotsent
mt01,matemaatika-informaatikateaduskond emeriitdotsent
so01,sotsiaalteaduskond emeriitdotsent
p1gv,eesti geenivaramu
htkd,kõrgkoolididaktika keskus
htkk,praktika ja kutseaasta keskus
dhum03bm,botaanika ja mükoloogiamuuseum
flgr02,klassikaline filoloogia osakond
flgr08,saksa filoloogia osakond
flgr06,skandinavistika osakond
flgr05ve,vene keel õppetool
flgr05vk,vene kirjandus õppetool
flgr05sf,slaavi filoloogia õppetool
flku06,maailmakirjandus osakond
flku07,eesti kirjandus osakond
flku08,teatriteadus ja kirjandusteooria osakond
fkkt,tartu ülikool keemia instituut
bgom,tartu ülikool ökoloogia ja maateadus instituut
bgom01,botaanika osakond
bgom02,geograafia osakond
bgom03,geoloogia osakond
bgom04,zooloogia osakond
flku01mk,maalikunst õppetool
flku01mu,muusika õppetool
flku05ek,eesti kirjandus õppetool
flku05ma,maailmakirjandus õppetool
flku05tt,teatriteadus õppetool
dhhb05,struktuurifond talitus
bgom01bo,botaanika õppetool
bgom01mk,mükoloogia õppetool
bgom01ta,taimeökoloogia õppetool
bgom01of,ökofüsioloogia õppetool
bgom02gk,geoinformaatika ja kartograafia õppetool
bgom02gr,inimgeograafia ja regionaalplaneerimine õppetool
bgom02lm,loodusgeograafia ja maastikuökoloogia õppetool
bgom02ce,väliseesti uuring keskus
bgom03gm,geoloogia ja mineraloogia õppetool
bgom03ps,paleontoloogia ja stratigraafia õppetool
bgom03pr,pinnakate ja rakendusgeoloogia õppetool
bgom04ab,arengubioloogia õppetool
bgom04hb,hüdrobioloogia õppetool
bgom04lo,loomaökoloogia õppetool
bgom04zo,zooloogia õppetool
mtmm01,puhas matemaatika osakond
mtmm02,rakendusmatemaatika osakond
mtmm01pm,algebra uurimisrühm
mtmm01gt,geomeetria ja topoloogia uurimisrühm
mtmm01fa,funktsionaalanalüüs uurimisrühm
mtmm01md,matemaatika didaktika uurimisrühm
mtmm01ma,matemaatiline analüüs uurimisrühm
mtmm01ua,universaalalgebra uurimisrühm
mtmm02am,arvutusmatemaatika töörühm
mtmm02tm,teoreetiline mehaanika töörühm
fkkt01,anorgaaniline keemia õppetool
fkkt02,füüsikaline keemia õppetool
fkkt03,keemiaharidus õppetool
fkkt04,kolloid-ja keskkonnakeemia õppetool
fkkt05,rakenduselektrokeemia õppetool
fkkt06,analüütiline keemia õppetool
fkkt07,keemiline füüsika õppetool
fkkt08,molekulaartehnoloogia õppetool
fkkt09,orgaaniline keemia õppetool
fkkt10,bioorgaaniline keemia õppetool
p1mi09,kaugseire ja mereoptika osakond
p1mi10,ökodünaamika osakond
p2ec01,rakendusuuring keskus socialia
p2ec02,koolituskeskus
lo,loodus ja tehnoloogiateaduskond
lolo,loodus ja tehnoloogiateaduskond dekanaat
lomi,tartu ülikool eesti mereinstituut
lofy,tartu ülikool füüsika instituut
loti,tartu ülikool tehnoloogiainstituut
lokt,tartu ülikool keemia instituut
lomr,tartu ülikool molekulaar ja rakubioloogia instituut
loom,tartu ülikool ökoloogia ja maateadus instituut
lo00,loodus ja tehnoloogiateaduskond emeriitprofessor
lo01,loodus ja tehnoloogiateaduskond emeriitdotsent
sorg,riigiteadus instituut
lomr01,biotehnoloogia õppetool
lomr02,evolutsiooniline bioloogia õppetool
lomr03,geneetika õppetool
lomr04,mikrobioloogia ja viroloogia õppetool
lomr05,molekulaarbioloogia õppetool
lomr06,rakubioloogia õppetool
lomr07,biofüüsika ja taimefüsioloogia õppetool
lomr08,üldine ja mikroobibiokeemia õppetool
lomr09,arengubioloogia õppetool
loom01,botaanika osakond
loom02,geograafia osakond
loom03,geoloogia osakond
loom04,zooloogia osakond
loom01bo,botaanika õppetool
loom01mk,mükoloogia õppetool
loom01ta,taimeökoloogia õppetool
loom01of,ökofüsioloogia õppetool
loom02gk,geoinformaatika ja kartograafia õppetool
loom02gr,inimgeograafia ja regionaalplaneerimine õppetool
loom02lm,loodusgeograafia ja maastikuökoloogia õppetool
loom02ce,väliseesti uuring keskus
loom03gm,geoloogia ja mineraloogia õppetool
loom03ps,paleontoloogia ja stratigraafia õppetool
loom03pr,pinnakate ja rakendusgeoloogia õppetool
loom04hb,hüdrobioloogia õppetool
loom04lo,loomaökoloogia õppetool
loom04zo,zooloogia õppetool
lomi01,kalabioloogia ja kalandus osakond
lomi02,merebioloogia osakond
lomi03,meresüsteem osakond
lomi04,ökosüsteem dünaamika töörühm
lomi05,mereoptika töörühm
lomi06,pärnu osakond
lomi07,kaugseire ja mereoptika osakond
lomi08,ökodünaamika osakond
lomi03ml,meresüsteem modelleerimine labor
lokt01,anorgaaniline keemia õppetool
lokt02,füüsikaline keemia õppetool
lokt03,keemiaharidus õppetool
lokt04,kolloid-ja keskkonnakeemia õppetool
lokt05,rakenduselektrokeemia õppetool
lokt06,analüütiline keemia õppetool
lokt07,keemiline füüsika õppetool
lokt08,molekulaartehnoloogia õppetool
lokt09,orgaaniline keemia õppetool
lokt10,bioorgaaniline keemia õppetool
loti01,innovatsioonikeskus
loti02,biomeditsiinitehnoloogia arenduskeskus
loti03,keemia ja materjalitehnoloogia arenduskeskus
loti04,keskkonnatehnika arenduskeskus
loti05,info ja kommunikatsioonitehnoloogia arenduskeskus
loti06,psühhofarmakoloogiline ravimiarendus labor
loti07,õigus ja intellektuaalomand osakond
lomr10,bioinformaatika õppetool
lotd,materjaliteadus ja materjal tehnoloogia doktorikool
lofy01,füüsikaharidus osakond
lofy01os,optika ja spektroskoopia õppetool
lofy01rf,rakendusfüüsika õppetool
lofy01lo,laineoptika õppetool
lofy01kf,koolifüüsika keskus
lofy01bf,biomeditsiinitehnika ja meditsiinifüüsika teadus ja koolituskeskus
lofy02,materjaliteadus osakond
lofy03,eksperimentaalfüüsika osakond
lofy04,teoreetiline füüsika osakond
lofy05,bio ja keskkonnafüüsika osakond
lofy06,materjaliteadus instituut
lofy07,administratsioon
lofy17,raamatupidamine
lofy18,raamatukogu
lofy19,majandusgrupp
lofy20,krüogeenijaam
lofy21,töökoda
sorg01,avalik haldus õppetool
sorg02,haldusjuhtimine õppetool
sorg03,võrdlev poliitika õppetool
sorg04,rahvusvaheline suhe õppetool
sorg05,balti poliitika õppetool
mjjv10,rahandus õppetool
lofy02if,ioonkristall füüsika labor
