HTHT.01.010,IKT kasutamine koolikorralduses,3
FLGR.04.153,Bakalaureuseseminar,3
MJJV.07.083,Innovatsiooni juhtimine,6
LOKT.06.017,Spektroskoopilised analüüsimeetodid,6
LOKT.08.001,Teoreetiline keemia,6
LOMR.10.006,Genoomika,3
LOOM.03.127,Geoloogia magistriseminar,9
ARFS.01.032,Inimese füsioloogia,8
LOMR.08.007,Pärmigeneetika,3
OIEO.06.046,Rahvusvaheline eraõigus,6
LOFY.03.001,Arvutiriistvara I,3
ARMP.02.004,Immunoloogia alase uurimistöö alused I,6
SORG.00.004,Bakalaureusetöö,6
ARPA.01.014,Patoloogiline anatoomia,8
LOKT.01.046,Üldkeemia seminar,3
ARFS.01.030,Inimese füsioloogia,12
HTHT.07.002,Eripedagoogide kutse-eetika,3
LOKT.09.021,Kromatograafia,6
FLAJ.07.091,Tänapäevase ajalookirjutuse kujunemine,6
KKSB.03.013,Motoorika juhtimine,3
SOSS.02.001,Sissejuhatus sotsioloogia meetoditesse,3
ARMB.01.020,Meditsiiniline mikrobioloogia,9
FLGR.01.137,Inglise leksikoloogia,3
HTHT.02.008,Matemaatika ja matemaatika didaktika,6
LOFY.05.002,Atmosfäärifüüsika,6
FLKU.05.150,Üldine teatriajalugu I. Antiigist romantismini,6
FLGR.02.133,Proseminar antiikkultuurist: sissejuhatus erialasse,3
FLGR.03.128,Hispaania keele suuline ja kirjalik väljendusoskus,6
LOKT.04.006,Keskkonna analüüs,3
LOFY.00.004,Doktoriseminar,18
MJRI.10.028,Makroökonoomika,6
LOKT.01.017,Lahused,2
LOKT.04.038,Pinnaste remediatsiooni tehnoloogia,3
SOSS.01.001,Sissejuhatus sotsioloogiasse,3
LOFY.01.002,Füüsikaline maailmapilt,6
ARFR.02.011,Farmakoloogia,6
OIAO.03.027,Kriminaalmenetlus,6
LOKT.04.063,Protsessid mikroheterogeensetes süsteemides,3
LOKT.06.010,Analüütiline keemia I,6
FLEE.04.115,Traditsioonilised ja kaasaegsed kultuurid,3
P2OG.01.088,Võlaõiguse üldosa,6
LOFY.01.021,Insenerigraafika,3
LOOM.04.066,Ulukibioloogia,3
P2OG.01.089,Lepinguõigus,6
OIAO.05.008,Maksuõigus,3
HTHT.02.012,Eritehnikad kunstiõpetuses,6
P2NC.00.867,Ajakirjandus ja televisioon eesti keele tunnis,3
LOFY.05.042,Magistriseminar keskkonnafüüsikas,6
ARTH.03.014,Epidemioloogia,5
ARSK.04.001,Infektsioonhaigused,3
SOPH.00.057,Psühholoogia,3
LOFY.02.027,Eksperimentaalmeetodid materjalifüüsikas,6
OIEO.06.037,Rahvusvaheline kaubandusõiguse harjutuskohus I,3
SOSS.04.215,Praktika,6
LOOM.03.122,Paleontoloogia,6
SOPH.00.477,Uurimistöö,6
ARAI.01.039,Esmaabi,2
MTAT.05.008,Arvutiteaduse matemaatilised alused,6
FLGR.01.054,Iirimaa ajalugu filmis,3
MTMS.02.007,Populatsioonigeneetika matemaatilised alused,3
OIAO.06.026,Õiguse üldteooria,3
P2PC.00.504,Juhtimine,6
FLGR.01.088,Keeleõppe teooriad ja meetodid,3
MTAT.07.020,Krüptograafia uurimisprojekt,3
MJRI.03.057,Majandusmõtte ajalugu,3
P2OG.02.149,Õiguse entsüklopeedia,6
P2VK.01.244,Lõigete konstrueerimine ja kohandamine,3
USUS.05.063,Iisraeli aja- ja usundilugu,3
LOFY.01.036,Mõõtmismeetodid,3
P2NC.00.549,Keelekümbluse alused,6
MTMS.01.015,Statistiline nõustamine,3
FLAJ.07.004,Keskaeg,6
LOTI.00.001,Doktoritöö,180
FLKU.05.125,Muuseumipraktika,3
FLGR.03.205,Erialaseminar,3
LOTI.03.002,Orgaaniline keemia doktorantidele,9
OIAO.07.075,Rahvusvaheline õigus,6
FLKU.04.074,Folkloristika alused,3
FLGR.04.540,Tõlkeseminar,3
ARMP.01.029,Bioloogia,10
SOSS.01.079,Sissejuhatus sotsiaalsesse stratifikatsiooni,3
FLGR.06.023,Skandinaavia keeled,6
OIAO.06.035,Menetluspraktika,9
P2PC.00.305,Avalik esinemine,3
KKSB.03.028,Biomeetria ja biostatistika,3
FLKU.05.063,Sissejuhatus kirjandusteadusesse,3
FLGR.05.155,Vene ortograafia süvakursus,3
FLKU.03.023,Etnograafilised allikad,6
FLKU.05.144,Etenduse analüüsi praktikum,3
P2NC.00.818,Käsitöö ja kunstiõpetus,3
FLKU.03.006,Etnoloogia ja folkloristika magistriseminar,6
P2OG.01.058,Intellektuaalne omand,3
LOOM.03.076,Põhjavee dünaamika,3
P2OG.01.027,Pärimisõigus,3
AR00.00.083,Doktoritöö,180
LOOM.04.014,Eesti selgroogsed,3
ARST.01.096,Suu- ja hambahaigused II,10
P2OG.04.031,Vene õiguskeel (B2-C1),6
LOOM.03.017,Mineraloogia,5
P2NC.00.690,Avalik esinemine,3
P2OG.02.015,Sotsiaalhooldusõigus,3
P2OG.01.031,Asjaõigus,6
ARKA.01.003,Kardioloogia I,5
ARST.01.063,Ortodontia,6
SOSS.04.087,Sotsiaalpoliitika analüüs,3
ARFR.02.034,Ravimite toksikoloogia,3
FLKU.05.090,Eesti kirjanduse ajalugu I,6
SOPH.00.332,Lapse sotsiaalne areng,3
USUS.00.022,Religiooniuuringute eriseminar,12
SOSS.02.096,Kvantitatiivsete meetodite eriseminar I,6
FLSE.00.235,Sissejuhatus meediasemiootikasse,3
FLFI.00.023,Esteetika,6
LOFY.01.037,Kaasaegse metroloogia alused,3
P2NC.00.287,Looduse ja maatundmise praktika,3
FLGR.03.156,Prantsuse kirjandus,6
MTAT.03.231,Äriprotsesside juhtimine,6
FLEE.02.093,Eesti keel,3
FLGR.04.489,Narratoloogia põhialused,3
FLGR.06.026,Tekstianalüüs,6
P2NC.00.158,Eesti kirjanikke,3
MJRI.03.019,Ettevõtluskeskkond,6
KKSB.05.039,Täiskasvanute füsioteraapia,6
HTOS.02.241,Kunstiõpetus esimeses kooliastmes I,5
P2VK.05.307,Juhtimisökonoomika,3
USUS.03.024,Hingehoid,3
ARAN.01.028,Anatoomia,6
FLAJ.06.004,Teadusliku uurimistöö alused,6
