ar01,arstiteaduskonna emeriitdotsendid
fl01,filosoofiateaduskonna emeriitdotsendid
bg01,Bioloogia-geograafiateaduskonna emeriitdotsendid
fk01,Füüsika-keemiateaduskonna emeriitdotsendid
ht01,Haridusteaduskonna emeriitdotsendid
kk01,kehakultuuriteaduskonna emeriitdotsendid
mj01,majandusteaduskonna emeriitdotsendid
mt01,matemaatika-informaatikateaduskonna emeriitdotsendid
so01,Sotsiaalteaduskonna emeriitdotsendid
p1gv,Eesti geenivaramu
htkd,Kõrgkoolididaktika keskus
htkk,Praktika- ja kutseaasta keskus
dhum03bm,Botaanika- ja mükoloogiamuuseum
flgr02,klassikalise filoloogia osakond
flgr08,Saksa filoloogia osakond
flgr06,skandinavistika osakond
flgr05ve,vene keele õppetool
flgr05vk,vene kirjanduse õppetool
flgr05sf,slaavi filoloogia õppetool
flku06,Maailmakirjanduse osakond
flku07,Eesti kirjanduse osakond
flku08,Teatriteaduse ja kirjandusteooria osakond
fkkt,Tartu Ülikooli Keemia Instituut
bgom,Tartu Ülikooli Ökoloogia ja Maateaduste Instituut
bgom01,Botaanika osakond
bgom02,Geograafia osakond
bgom03,Geoloogia osakond
bgom04,Zooloogia osakond
flku01mk,maalikunsti õppetool
flku01mu,muusika õppetool
flku05ek,eesti kirjanduse õppetool
flku05ma,maailmakirjanduse õppetool
flku05tt,teatriteaduse õppetool
dhhb05,Struktuurifondide talitus
bgom01bo,Botaanika õppetool
bgom01mk,Mükoloogia õppetool
bgom01ta,Taimeökoloogia õppetool
bgom01of,Ökofüsioloogia õppetool
bgom02gk,Geoinformaatika ja kartograafia õppetool
bgom02gr,Inimgeograafia ja regionaalplaneerimise õppetool
bgom02lm,Loodusgeograafia ja maastikuökoloogia õppetool
bgom02ce,Välis-Eesti uuringute keskus
bgom03gm,Geoloogia ja mineraloogia õppetool
bgom03ps,Paleontoloogia ja stratigraafia õppetool
bgom03pr,Pinnakatte- ja rakendusgeoloogia õppetool
bgom04ab,Arengubioloogia õppetool
bgom04hb,Hüdrobioloogia õppetool
bgom04lo,Loomaökoloogia õppetool
bgom04zo,Zooloogia õppetool
mtmm01,Puhta matemaatika osakond
mtmm02,Rakendusmatemaatika osakond
mtmm01pm,Algebra uurimisrühm
mtmm01gt,Geomeetria ja topoloogia uurimisrühm
mtmm01fa,Funktsionaalanalüüsi uurimisrühm
mtmm01md,Matemaatika didaktika uurimisrühm
mtmm01ma,Matemaatilise analüüsi uurimisrühm
mtmm01ua,Universaalalgebra uurimisrühm
mtmm02am,Arvutusmatemaatika töörühm
mtmm02tm,Teoreetilise mehaanika töörühm
fkkt01,Anorgaanilise keemia õppetool
